year,Base case cost,Modeled solar power
2020,218629.872342,225015.672904
2021,227501.616327,233594.181594
2022,234313.056195,240148.378459
2023,239750.959986,245354.406361
2024,243805.822259,249202.167105
2025,248580.72161,253765.274163
2026,254786.18968,259744.829351
2027,259311.571232,264068.422542
2028,263433.763705,268002.987174
2029,268991.277615,273358.733973
2030,273148.323368,277337.214309
2031,279459.935517,283447.04404
2032,285082.403267,288881.481357
2033,291120.734017,294727.159231
2034,297500.468486,300918.695791
2035,302135.162598,305387.320889
2036,308556.087307,311628.532521
2037,312496.09218,315419.230243
2038,318956.622889,321708.10366
2039,324719.295879,327311.725968
