year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2002,,1.12,
2003,,1.18,
2004,,1.36,
2005,,1.46,
2006,,2.5,
2007,,2.38,
2008,,3.31,
2009,,2.52,
2010,,2.81,
2011,,3.69,
2012,,4.14,
2013,,4.35,
2014,,4.47,
2015,,4.46,
2016,start of forecast,1.61,3.16
2017,,1.98,3.53
2018,,2.25,3.8
2019,,2.64,4.19
2020,,2.83,4.38
2021,,2.96,4.51
2022,,3.06,4.61
2023,,3.13,4.68
2024,,3.18,4.73
2025,,3.25,4.8
2026,,3.33,4.88
2027,,3.4,4.95
2028,,3.46,5.01
2029,,3.54,5.09
2030,,3.58,5.13
2031,,3.67,5.22
2032,,3.75,5.3
2033,,3.84,5.39
2034,,3.93,5.48
2035,,3.99,5.54
2036,,4.08,5.63
2037,,4.14,5.69
2038,,4.23,5.78
2039,,4.31,5.86
2040,,4.41,5.96
