year,Base case cost,Modeled biomass for heat (cordwood)
2017,40678.2568705,56283.0127932
2018,43788.9268705,58216.3742971
2019,48282.1168705,61180.5956567
2020,50471.1068705,62449.43666
2021,51968.8368705,63215.3425336
2022,53120.9368705,63733.687289
2023,53927.4068705,64004.2833104
2024,54503.4568705,64112.1360883
2025,55309.9268705,64397.8215407
2026,56231.6068705,64775.9762231
2027,57038.0768705,65076.0520791
2028,57729.3368705,65297.8824695
2029,58651.0168705,65696.870793
2030,59111.8568705,65761.7258682
2031,60148.7468705,66258.9908983
2032,,
2033,,
2034,,
2035,,
2036,,
