year,annotation,Electricity price ($/kwh)
2002,,0.48
2003,,0.41
2004,,0.41
2005,,0.5
2006,,0.51
2007,,0.63
2008,,0.78
2009,,0.64
2010,,0.65
2011,,0.83
2012,,0.94
2013,,1.94
2014,,0.6
2015,,2.26
2016,start of forecast,-0.94
2017,,-0.85
2018,,-0.78
2019,,-0.68
2020,,-0.63
2021,,-0.59
2022,,-0.57
2023,,-0.55
2024,,-0.54
2025,,-0.52
2026,,-0.5
2027,,-0.48
2028,,-0.46
2029,,-0.44
2030,,-0.43
2031,,-0.41
2032,,-0.39
2033,,-0.37
2034,,-0.34
2035,,-0.33
2036,,-0.3
2037,,-0.29
2038,,-0.27
2039,,-0.24
2040,,-0.22
