year,Base case cost,Modeled non-residential energy efficiency
2017,33754.5471029,47323.800847
2018,37435.542865,50580.6476886
2019,42752.5367435,55414.0445234
2020,45342.8670946,57636.9467712
2021,47115.1983874,59080.9721696
2022,48478.5301511,60138.4974349
2023,49432.8623857,60809.3814489
2024,50114.5282676,61224.3268076
2025,51068.8605022,61906.5605604
2026,52159.5259132,62725.1108708
2027,53113.8581478,63418.1685783
2028,53931.857206,63985.6083427
2029,55022.522617,64819.8289842
2030,55567.8553225,65135.6685258
2031,56794.8539098,66110.5739045
