year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,519.43,154994.0,154994.0
2004,,519.43,163887.0,163887.0
2005,,519.43,151048.0,151048.0
2006,,519.43,137833.0,137833.0
2007,,519.43,99630.0,99630.0
2008,,519.43,93706.0,93706.0
2009,,519.43,93430.0,93430.0
2010,,519.43,99999.0,99999.0
2011,,519.43,90033.0,90033.0
2012,,519.43,79707.0,79707.0
2013,,519.43,36295.0,36295.0
2014,,519.43,26304.0,26304.0
2015,,519.43,6863.0,6863.0
2016,start of forecast,519.43,45000.0,45000.0
2017,,519.43,45000.0,45000.0
2018,,519.43,45000.0,45000.0
2019,,519.43,45000.0,45000.0
2020,,519.43,45000.0,45000.0
2021,,519.43,44000.0,44000.0
2022,,519.43,44000.0,44000.0
2023,,519.43,44000.0,44000.0
2024,,519.43,44000.0,44000.0
2025,,519.43,44000.0,44000.0
2026,,519.43,43000.0,43000.0
2027,,519.43,43000.0,43000.0
2028,,519.43,43000.0,43000.0
2029,,519.43,43000.0,43000.0
2030,,519.43,43000.0,43000.0
2031,,519.43,42000.0,42000.0
2032,,519.43,42000.0,42000.0
2033,,519.43,42000.0,42000.0
2034,,519.43,41000.0,41000.0
2035,,519.43,41000.0,41000.0
2036,,519.43,41000.0,41000.0
2037,,519.43,41000.0,41000.0
2038,,519.43,40000.0,40000.0
2039,,519.43,40000.0,40000.0
2040,,519.43,40000.0,40000.0
