year,Base case diesel consumed,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,3013951.08529,2880243.02829,2999383.85757,2851942.70271
2022,3013951.08529,2880243.02829,2999383.85757,2851942.70271
2023,3014014.37434,2880306.31734,2999447.14662,2852005.99176
2024,3014014.37434,2880306.31734,2999447.14662,2852005.99176
2025,3014077.66339,2880369.60639,2999510.43567,2852069.28081
2026,3014077.66339,2880369.60639,2999510.43567,2852069.28081
2027,3014140.95244,2880432.89544,2999573.72472,2852132.56986
2028,3014140.95244,2880432.89544,2999573.72472,2852132.56986
2029,3014204.24149,2880496.18449,2999637.01377,2852195.85891
2030,3014267.53054,2880559.47354,2999700.30282,2852259.14796
2031,3014330.81959,2880622.76258,2999763.59187,2852322.43701
2032,3014394.10863,2880686.05163,2999826.88091,2852385.72606
2033,3014394.10863,2880686.05163,2999826.88091,2852385.72606
2034,3014457.39768,2880749.34068,2999890.16996,2852449.0151
2035,3014520.68673,2880812.62973,2999953.45901,2852512.30415
2036,3014583.97578,2880875.91878,3000016.74806,2852575.5932
2037,3014647.26483,2880939.20783,3000080.03711,2852638.88225
2038,3014710.55388,2881002.49688,3000143.32616,2852702.1713
2039,3014773.84293,2881065.78593,3000206.61521,2852765.46035
2040,3014837.13198,2881129.07497,3000269.90426,2852828.7494
2041,3014837.13198,2881129.07497,3000269.90426,2852828.7494
2042,3014900.42103,2881192.36402,3000333.19331,2852892.03845
2043,3014963.71007,2881255.65307,3000396.48235,2852955.3275
2044,3015026.99912,2881318.94212,3000459.7714,2853018.61654
2045,3015090.28817,2881382.23117,3000523.06045,2853081.90559
2046,3015153.57722,2881445.52022,3000586.3495,2853145.19464
2047,3015153.57722,2881445.52022,3000586.3495,2853145.19464
2048,3015216.86627,2881508.80927,3000649.63855,2853208.48369
2049,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2050,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2051,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2052,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2053,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2054,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2055,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2056,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2057,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2058,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2059,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2060,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2061,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2062,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2063,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2064,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2065,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2066,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2067,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2068,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2069,3015280.15532,2881572.09832,3000712.9276,2853271.77274
2070,3015280.15532,2881572.09832,3000712.9276,2853271.77274
