year,Base case cost,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,8167807.44114,8232262.81692,8215037.04745,9041949.28691
2022,8439063.03882,8484094.82696,8483379.60269,9273893.11002
2023,8650221.25436,8678460.89489,8691930.14287,9449297.72958
2024,8800921.97308,8814996.24999,8840327.6083,9567788.7228
2025,8981951.4369,8980833.41399,9018959.74785,9715716.81039
2026,9223077.64997,9204519.55956,9257461.14103,9921362.50154
2027,9404119.77161,9370735.07414,9436180.16066,10070427.0283
2028,9554826.81923,9508008.34942,9584732.44127,10191172.5453
2029,9766021.74242,9703509.02627,9793542.52291,10369987.7455
2030,9916940.17547,9841334.26487,9942375.31381,10491991.2508
2031,10128151.5538,10037183.9925,10151269.3554,10671844.9794
2032,10369515.7337,10262130.6052,10390216.2455,10880870.8015
2033,10610667.2624,10487021.28,10628982.2916,11090165.5558
2034,10882191.2056,10741221.0187,10898019.2904,11328829.1716
2035,11033145.7134,10879866.3399,11047047.281,11453278.0237
2036,11304689.9092,11134381.7354,11316164.4886,11692869.6753
2037,11455659.6064,11273330.7267,11465266.2196,11818220.224
2038,11697076.9491,11499217.3797,11704446.2763,12030024.6017
2039,11908356.6796,11696318.7389,11913648.8324,12213582.9239
2040,12210090.3845,11980357.6406,12212934.7345,12483581.5891
2041,12210090.3845,11974956.3786,12211838.4758,12466983.4009
2042,12210346.7052,11969938.0293,12211024.2313,12451030.5533
2043,12210603.0258,11965043.3051,12210235.0782,12435457.6082
2044,12210859.3465,11960269.3085,12209470.4283,12420255.6614
2045,12211115.6671,11955613.21,12208729.7075,12405416.0178
2046,12211371.9877,11951072.2463,12208012.3548,12390930.1859
2047,12211371.9877,11946387.3983,12207061.502,12376533.5526
2048,12211628.3084,11942068.6721,12206389.2554,12362730.661
2049,12211884.629,11937857.1735,12205738.7721,12349257.282
2050,12211884.629,11933494.0688,12204853.2214,12335849.3724
2051,12211884.629,11929233.2244,12203988.4257,12322755.7106
2052,12211884.629,11925072.2435,12203143.8987,12309968.9316
2053,12211884.629,11921008.7856,12202319.1654,12297481.8427
2054,12211884.629,11917040.565,12201513.7617,12285287.4198
2055,12211884.629,11913165.3495,12200727.2346,12273378.8038
2056,12211884.629,11909380.9594,12199959.1418,12261749.296
2057,12211884.629,11905685.266,12199209.0512,12250392.3548
2058,12211884.629,11902076.1904,12198476.5408,12239301.5918
2059,12211884.629,11898551.7025,12197761.1986,12228470.7687
2060,12211884.629,11895109.8198,12197062.6223,12217893.793
2061,12211884.629,11891748.6062,12196380.4188,12207564.7151
2062,12211884.629,11888466.171,12195714.2045,12197477.725
2063,12211884.629,11885260.6679,12195063.6045,12187627.1487
2064,12211884.629,11882130.2939,12194428.2531,12178007.4453
2065,12211884.629,11879073.2879,12193807.7926,12168613.2037
2066,12211884.629,11876087.9305,12193201.8742,12159439.1396
2067,12211884.629,11873172.5424,12192610.157,12150480.0927
2068,12211884.629,11870325.4838,12192032.3082,12141731.0234
2069,12211884.629,11867545.153,12191468.0027,12133187.0104
2070,12211884.629,11864829.9863,12190916.9232,12124843.2477
