year,Base case diesel consumed,Modeled wind power
2019,3013951.08529,1825365.19285
2020,3013951.08529,1825365.19285
2021,3013951.08529,1825365.19285
2022,3013951.08529,1825365.19285
2023,3014014.37434,1825428.4819
2024,3014014.37434,1825428.4819
2025,3014077.66339,1825491.77095
2026,3014077.66339,1825491.77095
2027,3014140.95244,1825555.06
2028,3014140.95244,1825555.06
2029,3014204.24149,1825618.34905
2030,3014267.53054,1825681.6381
2031,3014330.81959,1825744.92714
2032,3014394.10863,1825808.21619
2033,3014394.10863,1825808.21619
2034,3014457.39768,1825871.50524
2035,3014520.68673,1825934.79429
2036,3014583.97578,1825998.08334
2037,3014647.26483,1826061.37239
2038,3014710.55388,1826124.66144
