year,Base case diesel consumed,Modeled solar power (pv)
2016,3014014.37434,2972450.65163
2017,3013951.08529,2972719.87236
2018,3013951.08529,2973049.72207
2019,3013951.08529,2973376.93297
2020,3013951.08529,2973701.52619
2021,3013951.08529,2974023.52266
2022,3013951.08529,2974342.94317
2023,3014014.37434,2974723.09735
2024,3014014.37434,2975037.42757
2025,3014077.66339,2975412.53219
2026,3014077.66339,2975721.85324
2027,3014140.95244,2976091.98877
2028,3014140.95244,2976396.38048
2029,3014204.24149,2976761.6261
2030,3014267.53054,2977124.45608
2031,3014330.81959,2977484.88972
2032,3014394.10863,2977842.94621
2033,3014394.10863,2978135.35551
2034,3014457.39768,2978488.71458
2035,3014520.68673,2978839.7531
