year,Base case cost,Modeled wind power
2019,7323901.13726,8152888.25712
2020,7836272.82176,8425015.66675
2021,8167807.44114,8579177.46584
2022,8439063.03882,8695020.32338
2023,8650221.25436,8772690.19162
2024,8800921.97308,8811792.10451
2025,8981951.4369,8872422.14721
2026,9223077.64997,8974096.37965
2027,9404119.77161,9037476.33392
2028,9554826.81923,9082060.62282
2029,9766021.74242,9167985.11973
2030,9916940.17547,9215330.06075
2031,10128151.5538,9303760.53037
2032,10369515.7337,9413326.26512
2033,10610667.2624,9523852.36667
2034,10882191.2056,9655677.70132
2035,11033145.7134,9708927.10826
2036,11304689.9092,9842983.8311
2037,11455659.6064,9898407.74004
2038,11697076.9491,10014665.0213
