year,Base case cost,Modeled solar power (pv)
2016,4460741.27403,4984041.92388
2017,5455251.46438,5953200.10599
2018,6238878.74656,6714839.54491
2019,7323901.13726,7774262.61867
2020,7836272.82176,8269184.67943
2021,8167807.44114,8586036.06057
2022,8439063.03882,8843725.44613
2023,8650221.25436,9042408.54642
2024,8800921.97308,9181699.77382
2025,8981951.4369,9351200.39235
2026,9223077.64997,9580298.10457
2027,9404119.77161,9750346.47898
2028,9554826.81923,9890692.8512
2029,9766021.74242,10091022.1408
2030,9916940.17547,10232068.1857
2031,10128151.5538,10432903.2451
2032,10369515.7337,10663765.1287
2033,10610667.2624,10894654.4773
2034,10882191.2056,11155791.4516
2035,11033145.7134,11298021.7785
