year,Base case cost,Modeled water and wastewater efficiency
2017,126193.114768,303679.614167
2018,133960.357417,304045.565723
2019,144690.204811,306575.588152
2020,149761.09909,305309.175656
2021,152932.180856,302839.382384
2022,155410.48705,299998.177054
2023,157217.07778,296798.022188
2024,158338.874593,293227.129197
2025,159692.385682,289916.964346
2026,161716.920529,287171.530022
2027,163049.066569,284042.846245
2028,163995.446818,280740.753599
2029,165416.828393,277857.565111
2030,166204.671471,274626.240736
2031,167573.828953,271885.068841
