year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,17442.1982528,11337.4288643
2018,17454.1205767,11345.1783749
2019,17465.5732416,11352.622607
2020,17470.8825491,11356.0736569
2021,17461.6594155,11350.0786201
2022,17441.4559754,11336.946384
2023,17412.9147362,11318.3945785
2024,17374.6186229,11293.5021049
2025,17330.3815916,11264.7480345
2026,17296.2260364,11242.5469237
2027,17251.6920941,11213.5998612
2028,17198.2616203,11178.8700532
2029,17134.9440121,11137.7136079
2030,17067.4804475,11093.8622909
2031,17001.7740558,11051.1531363
