year,Base case diesel consumed,Modeled diesel efficiency
2019,3013951.08529,2739955.53208
2020,3013951.08529,2739955.53208
2021,3013951.08529,2739955.53208
2022,3013951.08529,2739955.53208
2023,3014014.37434,2740013.06758
2024,3014014.37434,2740013.06758
2025,3014077.66339,2740070.60308
2026,3014077.66339,2740070.60308
2027,3014140.95244,2740128.13858
2028,3014140.95244,2740128.13858
2029,3014204.24149,2740185.67408
2030,3014267.53054,2740243.20958
2031,3014330.81959,2740300.74508
2032,3014394.10863,2740358.28058
2033,3014394.10863,2740358.28058
2034,3014457.39768,2740415.81608
2035,3014520.68673,2740473.35158
2036,3014583.97578,2740530.88707
2037,3014647.26483,2740588.42257
2038,3014710.55388,2740645.95807
