year,annotation,diesel generation efficiency
2002,,14.47
2003,,14.03
2004,,13.82
2005,,15.71
2006,,16.26
2007,,15.86
2008,,15.97
2009,,17.88
2010,,16.37
2011,,15.86
2012,,15.76
2013,,15.7
2014,,15.84
2015,,15.86
2016,start of forecast,15.8
2017,,15.8
2018,,15.8
2019,,15.8
2020,,15.8
2021,,15.8
2022,,15.8
2023,,15.8
2024,,15.8
2025,,15.8
2026,,15.8
2027,,15.8
2028,,15.8
2029,,15.8
2030,,15.8
2031,,15.8
2032,,15.8
2033,,15.8
2034,,15.8
2035,,15.8
2036,,15.8
2037,,15.8
2038,,15.8
2039,,15.8
2040,,15.8
