year,Base case cost,Modeled residential energy efficiency
2017,678881.929129,656484.364181
2018,721993.79012,690314.763933
2019,780023.785656,736293.648395
2020,813455.335423,762913.088753
2021,841533.931015,785412.264144
2022,865224.295176,804519.025985
2023,873714.252749,809184.357892
2024,891704.283062,823871.927318
2025,912351.601987,840795.402499
2026,934492.984109,859025.979129
2027,955620.01782,876525.282232
2028,975683.077451,893242.573163
2029,1011090.1275,924877.965072
2030,1028992.15519,939994.91269
2031,1053835.15842,960918.08402
2032,1077597.64568,981038.504228
2033,1103019.61503,1002624.00654
2034,1128739.33839,1024547.48567
2035,1150473.12882,1043231.07644
2036,1176738.73452,1065778.07749
