year,Base case diesel consumed,Modeled solar power (pv)
2016,43179.2573779,42526.3929214
2017,43274.7867084,42627.1451675
2018,43465.8453694,42823.3849608
2019,43656.9040304,43019.583305
2020,43943.4920218,43311.2698623
2021,44134.5506828,43507.3863005
2022,44325.6093437,43703.4622765
2023,44421.1386742,43803.9687836
2024,44612.1973352,43999.9648036
2025,44803.2559961,44195.9213249
2026,44994.3146571,44391.8386632
2027,45185.3733181,44587.7171321
2028,45471.9613095,44879.086373
2029,45663.0199705,45074.8880335
2030,45854.0786314,45270.65175
2031,46045.1372924,45466.377826
2032,46331.7252839,45757.5958932
2033,46522.7839448,45953.2475892
2034,46809.3719363,46244.3918715
2035,47000.4305972,46439.970373
