year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,43274.79,5829.66,35891.04,70599.14
2018,43465.85,5802.36,35891.04,71680.15
2019,43656.9,5774.86,35891.04,72761.17
2020,43943.49,5725.65,35891.04,73842.18
2021,44134.55,5697.57,35891.04,74923.19
2022,44325.61,5670.31,35891.04,76004.21
2023,44421.14,5643.91,35891.04,76004.21
2024,44612.2,5613.72,35891.04,77085.22
2025,44803.26,5583.41,35891.04,78166.23
2026,44994.31,5552.48,35891.04,79247.24
2027,45185.37,5519.56,35891.04,80328.26
2028,45471.96,5474.36,35891.04,81409.27
2029,45663.02,5440.38,35891.04,83571.3
2030,45854.08,5405.81,35891.04,84652.31
2031,46045.14,5371.17,35891.04,85733.32
2032,46331.73,,,86814.33
2033,46522.78,,,87895.35
2034,46809.37,,,88976.36
2035,47000.43,,,90057.37
2036,47191.49,,,91138.39
