year,Base case cost,Modeled solar power (pv)
2016,91108.2330675,95318.3122709
2017,109052.462505,112891.581096
2018,122139.025488,125691.16833
2019,140575.230978,143769.46143
2020,149847.307794,152829.38283
2021,156677.654924,159483.265188
2022,161788.474105,164446.25459
2023,165246.635868,167778.378674
2024,168187.983954,170608.846874
2025,172044.503025,174344.993979
2026,176377.713456,178554.59776
2027,180289.639539,182351.720337
2028,184161.443304,186117.320566
2029,188588.272478,190428.702646
2030,191211.507893,192962.480435
2031,196152.284866,197787.084883
2032,201079.687732,202606.692366
2033,206095.932876,207511.936101
2034,211578.361152,212885.891059
2035,215261.972135,216480.318286
