year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5829.66292387,3789.28090052
2018,5802.36464297,3771.53701793
2019,5774.8626038,3753.66069247
2020,5725.65431619,3721.67530552
2021,5697.57363017,3703.42285961
2022,5670.30531372,3685.69845392
2023,5643.90596635,3668.53887813
2024,5613.71844647,3648.91699021
2025,5583.40973704,3629.21632908
2026,5552.47576939,3609.1092501
2027,5519.56148446,3587.7149649
2028,5474.36377217,3558.33645191
2029,5440.37609401,3536.24446111
2030,5405.80510787,3513.77332011
2031,5371.1688658,3491.25976277
