year,Base case cost,Modeled biomass for heat (cordwood)
2017,5685051.47714,6484183.56185
2018,6227412.87714,6864676.462
2019,6971222.79714,7394604.69543
2020,7343127.75714,7650010.99416
2021,7591064.39714,7814212.33552
2022,7777016.87714,7933029.95918
2023,7916481.23714,8017911.35831
2024,8024953.51714,8080304.2722
2025,8148921.83714,8154572.67983
2026,8319378.27714,8263622.79543
2027,8458842.63714,8350155.0653
2028,8567314.91714,8414160.15766
2029,8722275.31714,8512918.95752
2030,8799755.51714,8554758.5686
2031,8970211.95714,8665708.29584
2032,,
2033,,
2034,,
2035,,
2036,,
