year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,15996.7821421,10397.9083923
2018,15942.3016832,10362.4960941
2019,15952.4911269,10369.1192325
2020,15909.309479,10341.0511614
2021,15899.4061495,10334.6139972
2022,15862.0466553,10310.3303259
2023,15793.4602275,10265.7491478
2024,15725.149117,10221.3469261
2025,15685.935279,10195.8579314
2026,15600.9026841,10140.5867447
2027,15529.193293,10093.9756404
2028,15458.0615286,10047.7399936
2029,15478.8398962,10061.2459326
2030,15470.2132837,10055.6386344
2031,15426.1705941,10027.0108862
