year,Base case cost,Modeled water and wastewater efficiency
2017,136273.950238,348177.755334
2018,141558.034837,345700.300881
2019,149274.105382,344953.355135
2020,152822.108065,341622.873732
2021,155301.661021,337735.686404
2022,156956.366381,333436.357297
2023,157912.89766,328803.541151
2024,158544.496064,324082.438055
2025,159527.304516,319714.731775
2026,160646.643407,315544.888226
2027,161533.124869,311340.463853
2028,162101.758718,307041.290666
2029,163801.075855,303602.362746
2030,164510.852938,299621.634171
2031,165880.141322,296167.432898
