year,Base case cost,Modeled non-residential energy efficiency
2017,14932630.8156,14199133.9056
2018,15474992.2215,14702334.209
2019,16218802.1495,15407900.873
2020,16590707.1135,15742458.8994
2021,16838643.7561,15953923.9234
2022,17024596.2381,16104259.5902
2023,17164060.5996,16208941.9057
2024,17272532.8808,16283447.3451
2025,17396501.2021,16374244.9225
2026,17566957.644,16512308.0595
2027,17706422.0055,16620138.3344
2028,17814894.2866,16697717.953
2029,17969854.6883,16822509.7387
2030,18047334.8891,16870528.4007
2031,18217791.331,17012213.8082
