year,Base case cost,Modeled biomass for heat (cordwood)
2017,343669.372779,379545.349765
2018,369307.854122,398833.400437
2019,404780.72205,425947.367875
2020,421434.515344,438155.958952
2021,433057.741503,446396.020615
2022,441742.731687,452330.266211
2023,447744.942785,456157.476091
2024,458449.677774,464941.630415
2025,464489.443507,468857.586106
2026,471800.047715,473804.561133
2027,477858.751009,477776.615671
2028,482909.268388,480964.858203
2029,489713.795828,485569.62153
2030,493879.602232,488091.946045
2031,501370.93577,493280.611132
2032,515293.292772,504922.376582
2033,522972.050883,510314.126719
2034,531094.335152,516078.413349
2035,536093.52869,519366.002655
2036,544188.528753,525140.272946
