year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,63092.3107879,46688.3099831
2018,63092.3107879,46688.3099831
2019,63092.3107879,46688.3099831
2020,63092.3107879,46688.3099831
2021,63092.3107879,46688.3099831
2022,63092.3107879,46688.3099831
2023,63092.3107879,46688.3099831
2024,63092.3107879,46688.3099831
2025,63092.3107879,46688.3099831
2026,63092.3107879,46688.3099831
2027,63092.3107879,46688.3099831
2028,63092.3107879,46688.3099831
2029,63092.3107879,46688.3099831
2030,63092.3107879,46688.3099831
2031,63092.3107879,46688.3099831
