year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9463.43376705,6151.23194858
2018,9461.34051707,6149.8713361
2019,9459.20092208,6148.48059935
2020,9456.98308658,6147.03900628
2021,9454.33982246,6145.3208846
2022,9452.57318501,6144.17257026
2023,9451.23111053,6143.30022185
2024,9449.69373443,6142.30092738
2025,9447.81762684,6141.08145745
2026,9445.42919373,6139.52897593
2027,9442.85584667,6137.85630033
2028,9440.19926501,6136.12952226
2029,9437.6672023,6134.48368149
2030,9435.05004054,6132.78252635
2031,9432.53475792,6131.14759265
