year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,79543.0,63102.0708967
2018,79541.0,63100.0708967
2019,79539.0,63098.0708967
2020,79537.0,63096.0708967
2021,79534.0,63093.0708967
2022,79533.0,63092.0708967
2023,79531.0,63090.0708967
2024,80553.0,64112.0708967
2025,80551.0,64110.0708967
2026,80548.0,64107.0708967
2027,80546.0,64105.0708967
2028,80543.0,64102.0708967
2029,80541.0,64100.0708967
2030,80538.0,64097.0708967
2031,80536.0,64095.0708967
2032,81555.0,65114.0708967
2033,81552.0,65111.0708967
2034,81550.0,65109.0708967
2035,81548.0,65107.0708967
2036,81545.0,65104.0708967
