year,Base case diesel consumed,Modeled non-residential ashp
2017,59956.0732163,45185.9394839
2018,59956.0732163,45185.9394839
2019,58046.704349,43276.5706166
2020,58046.704349,43276.5706166
2021,56137.3354817,41367.2017492
2022,56137.3354817,41367.2017492
2023,54227.9666143,39457.8328819
2024,52318.597747,37548.4640146
2025,52318.597747,37548.4640146
2026,50409.2288797,35639.0951472
2027,50409.2288797,35639.0951472
2028,48499.8600123,33729.7262799
2029,48499.8600123,33729.7262799
2030,48499.8600123,33729.7262799
2031,46590.491145,31820.3574126
