year,Base case cost,Modeled residential energy efficiency
2017,318484.932765,292397.029112
2018,332888.593854,303697.852386
2019,341524.421001,308160.897645
2020,350673.128975,315276.711878
2021,345712.812924,308925.46853
2022,350376.252158,312518.96369
2023,342162.861888,303556.612569
2024,332865.113546,293723.89219
2025,335917.182694,296027.000486
2026,328044.966391,287191.834516
2027,330990.866381,289388.773654
2028,321116.771181,278979.706417
2029,324362.177846,281369.157823
2030,326390.557011,282862.564951
2031,317729.655534,273238.713808
2032,320853.726018,275506.829033
2033,311798.481954,265488.635302
2034,315551.899834,268172.109107
2035,304631.280076,256716.517313
2036,308233.02773,259248.320892
