year,Base case cost,Modeled non-residential energy efficiency
2017,304520.880844,333379.547279
2018,324356.283455,351769.972153
2019,351031.48007,376501.922844
2020,364027.088678,388550.821899
2021,372918.820883,396794.805463
2022,379758.614887,403136.331282
2023,384546.470689,407575.399354
2024,387966.367691,410746.162264
2025,392754.223494,415185.230336
2026,398910.038097,420892.603573
2027,403697.8939,425331.671646
2028,407117.790902,428502.434555
2029,412589.626105,433575.65521
2030,416009.523107,436746.418119
2031,422165.33771,442453.791356
