year,Base case cost,Hooper bay wind farm construction,Modeled wind power
2019,696915.717638,811214.878359,908096.777062
2020,760001.995732,869690.306927,964588.599345
2021,810115.93027,916820.750596,1010435.53306
2022,856926.93445,961190.716792,1053755.35476
2023,897216.937439,999853.361125,1091717.90275
2024,935862.654767,1037142.94624,1128424.07426
2025,975515.550101,1075439.70936,1166137.42376
2026,1025480.02263,1123234.37035,1212998.62297
2027,1070762.91968,1166889.90874,1255954.06502
2028,1114066.37077,1208837.22762,1297317.97029
2029,1161954.34122,1255097.83941,1342878.48575
2030,1204666.74558,1296725.338,1384039.25345
2031,1262302.79379,1352191.57467,1438572.02833
2032,1318046.9535,1406037.14929,1491600.82389
2033,1375262.76628,1461354.37697,1546101.27251
2034,1438235.13648,1522156.93562,1605970.36938
2035,1491874.75261,1574440.41954,1657670.43969
2036,1558909.11981,1639304.9752,1721601.53357
2037,1612176.28643,1691487.23604,1773317.06352
2038,1683334.61453,1760475.7526,1841372.1183
