year,Base case diesel consumed,Modeled non-residential ashp
2017,286207.271447,200345.090013
2018,286207.271447,200345.090013
2019,286207.271447,200345.090013
2020,286207.271447,200345.090013
2021,286207.271447,200345.090013
2022,286207.271447,200345.090013
2023,286207.271447,200345.090013
2024,286207.271447,200345.090013
2025,286207.271447,200345.090013
2026,286207.271447,200345.090013
2027,286207.271447,200345.090013
2028,286207.271447,200345.090013
2029,286207.271447,200345.090013
2030,286207.271447,200345.090013
2031,286207.271447,200345.090013
