year,annotation,Average Load
2003,,406.0
2004,,437.0
2005,,442.0
2006,,443.0
2007,,463.0
2008,,461.0
2009,,459.0
2010,,476.0
2011,,441.0
2012,,463.0
2013,,419.0
2014,start of forecast,446.0
2015,,446.0
2016,,446.0
2017,,446.0
2018,,446.0
2019,,446.0
2020,,446.0
2021,,446.0
2022,,446.0
2023,,446.0
2024,,446.0
2025,,446.0
2026,,446.0
2027,,446.0
2028,,446.0
2029,,446.0
2030,,446.0
2031,,445.0
2032,,445.0
2033,,445.0
2034,,444.0
2035,,444.0
2036,,444.0
2037,,444.0
2038,,443.0
2039,,443.0
2040,,443.0
