year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.95
2001,,,2.5
2003,,1.17,2.52
2004,,1.54,2.52
2005,,1.76,3.8
2006,,1.85,3.8
2008,,3.12,5.78
2009,,4.08,7.98
2010,,3.37,7.98
2011,,3.59,7.98
2012,,4.12,7.35
2013,,4.2,6.45
2014,,,6.49
2016,start of forecast,1.87,4.33
2017,,2.23,4.69
2018,,2.5,4.96
2019,,2.86,5.32
2020,,3.03,5.49
2021,,3.15,5.61
2022,,3.24,5.7
2023,,3.3,5.76
2024,,3.35,5.81
2025,,3.41,5.87
2026,,3.48,5.94
2027,,3.54,6.0
2028,,3.59,6.05
2029,,3.66,6.12
2030,,3.7,6.16
2031,,3.78,6.24
2032,,3.85,6.31
2033,,3.93,6.39
2034,,4.01,6.47
2035,,4.06,6.52
2036,,4.14,6.6
2037,,4.19,6.65
2038,,4.27,6.73
2039,,4.33,6.79
2040,,4.42,6.88
