year,Base case diesel consumed,Modeled transmission and interties
2021,104000.072025,52000.0360123
2022,104937.00961,52468.5048052
2023,105717.790932,52858.895466
2024,106498.572253,53249.2861267
2025,107435.509839,53717.7549196
2026,108216.291161,54108.1455804
2027,108997.072482,54498.5362411
2028,109777.853804,54888.9269019
2029,110714.79139,55357.3956948
2030,111651.728975,55825.8644877
2031,112588.666561,56294.3332806
2032,113213.291618,56606.6458092
2033,113994.07294,56997.03647
2034,114774.854261,57387.4271307
2035,115399.479319,57699.7396593
2036,116180.26064,58090.1303201
2037,117117.198226,58558.599113
2038,117897.979547,58948.9897737
2039,118678.760869,59339.3804345
2040,119303.385926,59651.6929631
