year,Base case diesel consumed,Modeled diesel efficiency
2019,44917.1001761,40833.7274329
2020,45385.568969,41259.6081537
2021,45775.9596298,41614.5087544
2022,46244.4284227,42040.3894752
2023,46634.8190835,42395.2900759
2024,47025.2097442,42750.1906766
2025,47493.6785371,43176.0713974
2026,47884.0691979,43530.9719981
2027,48274.4598586,43885.8725987
2028,48664.8505194,44240.7731994
2029,49133.3193123,44666.6539203
2030,49601.7881052,45092.5346411
2031,50070.2568981,45518.4153619
2032,50382.5694267,45802.3358424
2033,50772.9600874,46157.2364431
2034,51163.3507482,46512.1370438
2035,51475.6632768,46796.0575244
2036,51866.0539375,47150.958125
2037,52334.5227305,47576.8388459
2038,52724.9133912,47931.7394466
