year,Base case diesel consumed,Modeled non-residential ashp
2017,52156.9645569,34181.3985436
2018,53497.7192236,35522.1532102
2019,53497.7192236,35522.1532102
2020,54838.4738902,36862.9078769
2021,56179.2285569,38203.6625436
2022,57519.9832236,39544.4172102
2023,57519.9832236,39544.4172102
2024,58860.7378902,40885.1718769
2025,60201.4925569,42225.9265435
2026,60201.4925569,42225.9265435
2027,61542.2472235,43566.6812102
2028,62883.0018902,44907.4358769
2029,64223.7565569,46248.1905435
2030,64223.7565569,46248.1905435
2031,65564.5112235,47588.9452102
