year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,1554.49,12615.48
2018,,0.0,1554.49,12615.48
2019,,0.0,1554.49,12615.48
2020,,0.0,1554.49,11879.85
2021,,0.0,1554.49,11879.85
2022,,0.0,1554.49,11879.85
2023,,0.0,1554.49,11144.22
2024,,0.0,1554.49,11144.22
2025,,0.0,1554.49,11144.22
2026,,0.0,1554.49,10408.59
2027,,0.0,1554.49,10408.59
2028,,0.0,1554.49,10408.59
2029,,0.0,1554.49,9672.96
2030,,0.0,1554.49,8937.33
2031,,0.0,1554.49,8937.33
2032,,0.0,1554.49,8937.33
2033,,0.0,1554.49,8937.33
2034,,0.0,1554.49,8201.7
2035,,0.0,1554.49,8201.7
2036,,0.0,1554.49,8201.7
2037,,0.0,1554.49,7466.07
2038,,0.0,1554.49,7466.07
2039,,0.0,1554.49,7466.07
2040,,0.0,1554.49,6730.44
