year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,205090.165924,151851.122784
2018,205090.165924,151851.122784
2019,205090.165924,151851.122784
2020,205090.165924,151851.122784
2021,205090.165924,151851.122784
2022,205090.165924,151851.122784
2023,205090.165924,151851.122784
2024,205090.165924,151851.122784
2025,205090.165924,151851.122784
2026,205090.165924,151851.122784
2027,205090.165924,151851.122784
2028,205090.165924,151851.122784
2029,205090.165924,151851.122784
2030,205090.165924,151851.122784
2031,205090.165924,151851.122784
