year,Base case cost,Modeled water and wastewater efficiency
2017,88546.1687958,70506.1467138
2018,93249.8405377,73586.1137989
2019,99565.4731505,77789.7918872
2020,102426.37988,79598.8996521
2021,104414.48059,80806.0210361
2022,105890.998972,81661.7845705
2023,106854.028771,82164.7576825
2024,107703.894303,82593.1486118
2025,108687.70065,83118.445702
2026,109935.330328,83830.8117939
2027,110926.934053,84368.9149276
2028,111664.619917,84734.1594397
2029,112858.969477,85420.8446958
2030,113662.507153,85839.3052193
2031,114813.66496,86502.1731009
