year,Base case cost,Modeled residential energy efficiency
2017,13515895.5481,12678671.4368
2018,13681642.7653,12794175.9968
2019,13838573.1983,12901592.5768
2020,13991991.3847,13007465.8157
2021,14144705.4267,13113908.7301
2022,14285944.4767,13210124.7417
2023,14416153.0015,13296427.5998
2024,14546067.3423,13383529.107
2025,14676158.5547,13471770.7654
2026,14806592.1659,13561259.5034
2027,14936888.6117,13651598.494
2028,15077630.7597,13753383.4838
2029,15186466.3405,13824099.6217
2030,15305573.8244,13906080.078
2031,15425366.3422,13989470.8212
2032,15566692.0469,14095240.494
2033,15718972.5615,14212755.7
2034,15860356.1712,14320215.7603
2035,16012002.4664,14438831.7554
2036,16153613.7623,14548041.1624
