year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,1051.72,18375.64,0.0,14640.4
2018,1051.72,18442.36,0.0,14816.67
2019,1051.72,18505.07,0.0,14981.19
2020,1051.72,18566.25,0.0,15145.71
2021,1051.72,18626.52,0.0,15310.23
2022,1051.72,18682.55,0.0,15463.0
2023,1051.72,18736.44,0.0,15604.01
2024,1051.72,18788.77,0.0,15745.03
2025,1051.72,18841.78,0.0,15886.04
2026,1051.72,18895.14,0.0,16027.06
2027,1051.72,18949.36,0.0,16168.08
2028,1051.72,19003.61,0.0,16320.84
2029,1051.72,19047.97,0.0,16438.36
2030,1051.72,19094.61,0.0,16567.62
2031,1051.72,19144.26,0.0,16696.89
2032,1051.72,,,16849.66
2033,1051.72,,,17014.17
2034,1051.72,,,17166.94
2035,1051.72,,,17331.46
2036,1051.72,,,17484.23
