year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.65
2004,,,2.65
2006,,,1.0
2008,,,1.0
2009,,,1.0
2010,,,1.0
2011,,,1.0
2012,,,1.0
2013,,,3.9
2014,,,
2016,start of forecast,2.27,2.27
2017,,2.71,2.71
2018,,3.03,3.03
2019,,3.47,3.47
2020,,3.67,3.67
2021,,3.82,3.82
2022,,3.92,3.92
2023,,4.0,4.0
2024,,4.06,4.06
2025,,4.13,4.13
2026,,4.22,4.22
2027,,4.3,4.3
2028,,4.36,4.36
2029,,4.44,4.44
2030,,4.49,4.49
2031,,4.58,4.58
2032,,4.67,4.67
2033,,4.77,4.77
2034,,4.86,4.86
2035,,4.92,4.92
2036,,5.02,5.02
2037,,5.08,5.08
2038,,5.18,5.18
2039,,5.25,5.25
2040,,5.36,5.36
