year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,113833.418517,84303.4697023
2018,113833.418517,84303.4697023
2019,113833.418517,84303.4697023
2020,113833.418517,84303.4697023
2021,113833.418517,84303.4697023
2022,113833.418517,84303.4697023
2023,113833.418517,84303.4697023
2024,113833.418517,84303.4697023
2025,113833.418517,84303.4697023
2026,113833.418517,84303.4697023
2027,113833.418517,84303.4697023
2028,113833.418517,84303.4697023
2029,113833.418517,84303.4697023
2030,113833.418517,84303.4697023
2031,113833.418517,84303.4697023
