year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,82136.51,4304.2,113833.42,88972.54
2018,81555.55,4269.31,113833.42,90053.56
2019,82792.8,4220.92,113833.42,92215.58
2020,84872.58,4185.78,113833.42,93296.6
2021,85811.71,4146.26,113833.42,94377.61
2022,87203.32,4105.57,113833.42,95458.62
2023,88483.73,4072.92,113833.42,96539.63
2024,89524.79,4039.32,113833.42,97620.65
2025,91901.09,3970.97,113833.42,100863.69
2026,93304.35,3931.71,113833.42,101944.7
2027,94667.24,3890.89,113833.42,103025.71
2028,95812.09,3856.92,113833.42,104106.73
2029,97278.41,3815.66,113833.42,106268.75
2030,98819.97,3770.08,113833.42,107349.76
2031,100285.54,3727.91,113833.42,108430.78
2032,101749.59,,,110592.8
2033,103212.87,,,111673.82
2034,104921.16,,,113835.84
2035,106222.38,,,114916.85
2036,107848.85,,,117078.88
