year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5395.90129757,3507.33584342
2018,5396.71440168,3507.86436109
2019,5397.29402583,3508.24111679
2020,5397.87643014,3508.61967959
2021,5398.39521453,3508.95688944
2022,5398.99510959,3509.34682124
2023,5399.37267235,3509.59223703
2024,5399.80170866,3509.87111063
2025,5400.14231949,3510.09250767
2026,5400.53883056,3510.35023987
2027,5400.87536562,3510.56898765
2028,5401.32569855,3510.86170405
2029,5401.66285442,3511.08085537
2030,5402.14592852,3511.39485354
2031,5402.5424126,3511.65256819
