year,Base case cost,Modeled diesel efficiency
2019,9527.37043181,142079.563586
2020,9699.89729476,139109.414363
2021,10155.5971677,136469.984025
2022,10481.0970769,133783.76125
2023,10719.7970103,131088.523116
2024,10915.0969558,128422.086012
2025,10571.5118971,125332.409308
2026,10839.4059607,122863.716314
2027,11066.0855531,120421.123561
2028,11251.5506741,118003.141215
2029,11519.4447377,115720.717385
2030,11045.1942003,112822.818944
2031,11298.8824063,110644.497709
2032,11572.0850897,108540.376597
2033,11845.2877731,106491.391912
2034,12118.4904565,104496.25139
2035,11605.6830358,101839.138402
2036,11882.0088224,99950.7690283
2037,12047.8042943,98012.0638398
2038,12324.1300809,96222.8117245
