year,Base case cost,"Atka (unnamed stream, site #4) -- unnamed creek 4","Atka (unnamed stream, site #3) -- unnamed creek 3","Atka (unnamed stream, site #2) -- unnamed creek 2","Atka (unnamed stream, site #1) -- unnamed creek 1",Chuniisax creek (atka)
2020,9699.89729476,,,,,471187.650119
2021,10155.5971677,95714.144327,601989.470278,443079.900812,938087.35428,460721.828897
2022,10481.0970769,93737.2539607,587707.411973,430976.904021,914903.621019,450731.174478
2023,10719.7970103,91823.3181134,574135.405772,419661.567486,892981.719264,441126.947226
2024,10915.0969558,89962.1769967,561060.713007,408852.100425,871916.689507,431820.530958
2025,10571.5118971,87578.5547304,547607.303751,397568.116026,850546.32455,422121.109179
2026,10839.4059607,85769.3042314,534669.727641,386635.042899,829573.143806,413047.268145
2027,11066.0855531,84012.0339149,522211.626,376194.257167,809427.221152,404258.703341
2028,11251.5506741,82305.7902917,510226.63459,366240.747525,790098.450002,395750.736328
2029,11519.4447377,80615.751474,498084.75879,355934.221454,770388.863046,387261.825471
2030,11045.1942003,78378.9914512,486201.060025,346043.729302,751650.4825,378597.29555
2031,11298.8824063,76749.637296,474544.84893,336116.603391,732720.497768,370461.64052
2032,11572.0850897,75149.6759578,463024.765073,326239.063133,713974.409595,362459.361033
2033,11845.2877731,73585.0017605,451740.211734,316546.983344,695602.350305,354630.223248
2034,12118.4904565,72054.7876583,440685.668641,307036.017275,677595.553559,346970.169142
2035,11605.6830358,69903.4943038,429692.586948,297715.111435,660252.565377,339006.405674
2036,11882.0088224,68416.6637511,418960.570684,288397.020471,642735.311396,331612.410145
2037,12047.8042943,67008.9304619,409079.660489,280096.116327,626759.444874,324645.97178
2038,12324.1300809,65585.5346441,398771.05104,271111.42261,609914.572459,317563.22839
2039,11783.6933598,63481.0057744,388348.25099,262110.188913,593451.849531,310067.64299
2040,12078.2856938,62083.8612142,378212.559436,253142.033543,576829.229894,303173.127326
2041,12078.2856938,60867.6598019,370094.799244,246749.98029,563938.005376,297205.650818
2042,11316.6331718,58918.3105882,361405.646535,239746.088262,550587.266411,290616.384519
2043,11316.6331718,57758.4505269,353663.94706,233650.151188,538293.236565,284925.355386
2044,10554.9806498,55864.1221715,345342.041197,226935.435158,525525.695605,278606.057266
2045,10554.9806498,54757.9934296,337958.981304,221121.896585,513801.195194,273178.668993
2046,9793.3281278,52916.1370573,329987.309351,214682.960296,501589.835232,267116.832608
2047,9793.3281278,51861.2504888,322946.274776,209138.737888,490408.480352,261940.871823
2048,9793.3281278,50831.0878154,316070.264391,203724.458147,479489.188384,256886.222577
2049,9031.67560581,49063.4170611,308593.758,197675.423083,468064.164835,251188.389166
2050,9031.67560581,48080.9773819,302036.283524,192511.963573,457650.716576,246367.900021
2051,9031.67560581,47121.563634,295632.499864,187469.522653,447481.333524,241660.391097
2052,9031.67560581,46184.636142,289378.804859,182545.263922,437550.295346,237063.214395
2053,9031.67560581,45269.6678955,283271.68088,177736.417544,427852.015956,232573.784058
2054,9031.67560581,44376.1442113,277307.692579,173040.278471,418381.039924,228189.574715
2055,9031.67560581,43503.562489,271483.485257,168454.20516,409132.039899,223908.120281
2056,9031.67560581,42651.4319013,265795.782798,163975.617945,400099.813317,219727.012438
2057,9031.67560581,41819.2731216,260241.385848,159601.997605,391279.279517,215643.899297
2058,9031.67560581,41006.6180708,254817.170126,155330.884031,382665.477059,211656.484158
2059,9031.67560581,40213.0096169,249520.084421,151159.874649,374253.560532,207762.524031
2060,9031.67560581,39438.0013584,244347.149144,147086.623286,366038.798271,203959.828582
2061,9031.67560581,38681.1573622,239295.45458,143108.838786,358016.569567,200246.258838
2062,9031.67560581,37942.0518912,234362.159066,139224.283577,350182.361784,196619.725855
2063,9031.67560581,37220.2692066,229544.48768,135430.772641,342531.768267,193078.189749
2064,9031.67560581,36515.4033056,224839.730479,131726.172129,335060.485557,189619.658405
2065,9031.67560581,35827.0577054,220245.241067,128108.398223,327764.3111,186242.18642
2066,9031.67560581,35154.8451893,215758.434894,124575.41581,320639.140564,182943.873857
2067,9031.67560581,34498.3876664,211376.788324,121125.237737,313680.966343,179722.865554
2068,9031.67560581,33857.3158615,207097.83656,117755.923185,306885.874274,176577.349608
2069,9031.67560581,33231.2691834,202919.172771,114465.576977,300250.042245,173505.556724
2070,9031.67560581,32619.8954722,198838.4464,111252.348247,293769.737506,
