year,Base case cost,"Goodnews bay (stream s of chawekat mountain) -- unnamed creek, s of chawekat moutain","Goodnews (unnamed tributary to sphinx creek) -- sphinx creek, tributary"
2021,178999.853647,584510.367482,1005480.70408
2022,185220.832167,579145.131671,993870.328494
2023,189717.042337,573020.612459,981292.927917
2024,193410.304431,566555.884791,968417.447637
2025,197970.810257,560918.516988,956661.422618
2026,203420.98853,556126.041466,946038.515251
2027,208060.742489,550971.189127,935083.747203
2028,212389.484904,545948.702658,924288.169937
2029,217898.725466,542047.922536,914891.44963
2030,222232.701248,537655.046299,904895.36903
2031,228831.22984,534712.713491,897000.918866
2032,234314.303566,531080.693742,888429.688177
2033,240693.778354,528517.89025,881064.26645
2034,246911.018755,525712.812767,873716.927131
2035,253324.884242,524015.584613,867226.808027
2036,259670.715955,521664.854877,860591.293542
2037,264421.865876,518623.032784,853008.02305
2038,271136.276174,517200.352279,847419.142514
2039,276007.793544,514333.477112,840377.577938
2040,284488.091508,514475.348593,836841.35317
2041,286091.744786,510122.7692,827780.982116
2042,288016.128719,506230.519525,819291.279537
2043,289619.781997,502153.866854,810724.927009
2044,291223.435275,498210.346304,802396.933902
2045,293147.819209,494717.568396,794622.444592
2046,296996.587076,493276.138923,788999.656146
2047,298920.97101,490034.314717,781674.473728
2048,301166.085599,487234.304037,774886.808438
2049,303090.469532,484231.80775,767990.118137
2050,305014.853466,481344.785358,761300.172013
