year,Base case diesel consumed,Modeled solar power (pv)
2016,56744.6544505,55766.4796032
2017,57118.4664034,56148.1169549
2018,57567.0407469,56604.4540939
2019,57866.0903092,56911.2043495
2020,58239.9022621,57292.6553901
2021,58688.4766056,57748.8077085
2022,58987.5261679,58055.374622
2023,59286.5757302,58361.8813967
2024,59510.8629019,58593.5661231
2025,59809.9124643,58899.9540597
2026,60183.7244172,59281.0456798
2027,60482.7739795,59587.316672
2028,60856.5859324,59968.2922834
2029,61379.9226665,60498.7353666
2030,61903.2594005,61029.1215991
2031,62351.833744,61484.689045
2032,62650.8833063,61790.6757649
2033,63174.2200404,62320.8941593
2034,63473.2696027,62626.7703287
2035,64295.6558991,63455.9286192
