year,Base case cost,Modeled residential energy efficiency
2017,409366.430814,408795.390856
2018,435340.803463,433087.589187
2019,469593.896883,465210.315389
2020,482518.423164,476845.750933
2021,499376.959938,492703.434162
2022,514958.345178,507387.673548
2023,519682.196669,511363.878332
2024,532384.770883,523375.914076
2025,537189.749365,527455.077705
2026,551737.364043,541241.348354
2027,565646.402954,554445.392926
2028,569785.763339,557935.867546
2029,583924.662057,571389.627907
2030,605741.736856,592623.270437
2031,612689.221433,598812.427017
