year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,389992.56,12559.7,171485.02,78219.97
2018,388829.42,12562.99,171485.02,79630.85
2019,387734.71,12566.2,171485.02,81041.73
2020,386708.41,12569.35,171485.02,81041.73
2021,385613.69,12572.57,171485.02,82452.61
2022,384587.4,12575.48,171485.02,83863.49
2023,383629.52,12578.33,171485.02,83863.49
2024,382740.06,12580.95,171485.02,85274.37
2025,381850.61,12583.55,171485.02,86685.25
2026,380961.15,12586.17,171485.02,86685.25
2027,380071.69,12588.78,171485.02,88096.13
2028,379182.24,12591.39,171485.02,88096.13
2029,378566.46,12593.37,171485.02,89507.01
2030,377813.84,12595.45,171485.02,89507.01
2031,377061.23,12597.68,171485.02,90917.89
2032,376171.77,12600.28,171485.02,90917.89
2033,375282.31,12603.0,171485.02,92328.77
2034,374324.44,12605.72,171485.02,93739.65
2035,373434.98,12608.36,171485.02,93739.65
2036,372613.94,12610.93,171485.02,95150.53
2037,371724.48,12613.38,171485.02,95150.53
2038,370903.45,12615.92,171485.02,96561.41
2039,369945.57,12618.7,171485.02,96561.41
2040,368919.28,12621.67,171485.02,97972.29
