year,Base case diesel consumed,Modeled solar power
2020,386708.409484,380777.865208
2021,385613.693534,379730.593612
2022,384587.39733,378751.362208
2023,383629.520874,377840.174032
2024,382740.064164,376997.032097
2025,381850.607454,376153.519644
2026,380961.150744,375309.639637
2027,380071.694035,374465.395016
2028,379182.237325,373620.788699
2029,378566.459603,373049.502566
2030,377813.842387,372341.021006
2031,377061.225171,371632.186361
2032,376171.768461,370786.161962
2033,375282.311752,369939.790104
2034,374324.435295,369024.653821
2035,373434.978585,368177.595363
2036,372613.941623,367398.617466
2037,371724.484913,366550.883349
2038,370903.44795,365771.235199
2039,369945.571493,364854.416444
