year,Base case cost,Modeled wind power,Kaktovik wind diesel design
2019,1291156.56994,1584898.94515,1594093.82567
2020,1361213.60138,1621212.24341,1638367.64296
2021,1411346.11833,1643267.90923,1666754.76487
2022,1446048.61396,1654482.52476,1682989.54504
2023,1469301.06495,1657758.32816,1690291.96816
2024,1488858.8496,1658702.57938,1694903.72035
2025,1512128.40552,1662573.76239,1702717.6879
2026,1542892.66052,1672077.56028,1716757.22882
2027,1565895.37942,1676233.3919,1724775.89356
2028,1584981.75202,1677809.51275,1729859.5675
2029,1612693.11791,1686129.38073,1742282.72506
2030,1628377.66069,1685887.83121,1745157.56394
2031,1659069.39075,1696619.08833,1760236.09934
2032,1685249.52271,1704151.30049,1771763.8011
2033,1715040.16471,1714459.80715,1786350.23922
2034,1744351.86847,1724520.16936,1800655.07362
2035,1762613.09892,1726967.08783,1806363.67691
2036,1795999.19862,1740476.78412,1824369.96527
2037,1810298.24153,1740467.10896,1827242.20024
2038,1843390.13631,1754107.44947,1845317.54046
