year,Base case cost,Modeled solar power
2020,1361213.60138,1401753.4409
2021,1411346.11833,1449948.09825
2022,1446048.61396,1482988.2328
2023,1469301.06495,1504789.46804
2024,1488858.8496,1522987.35927
2025,1512128.40552,1544872.28071
2026,1542892.66052,1574171.29666
2027,1565895.37942,1595854.4261
2028,1584981.75202,1613707.83699
2029,1612693.11791,1640105.34635
2030,1628377.66069,1654670.77374
2031,1659069.39075,1684053.49664
2032,1685249.52271,1709008.60819
2033,1715040.16471,1737549.43211
2034,1744351.86847,1765640.18309
2035,1762613.09892,1782866.43377
2036,1795999.19862,1815034.06842
2037,1810298.24153,1828401.23491
2038,1843390.13631,1860327.8278
2039,1864525.68033,1880477.57331
