year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12559.6953516,8163.80197851
2018,12562.9938253,8165.94598646
2019,12566.1976871,8168.02849664
2020,12569.3501729,8170.07761242
2021,12572.5729838,8172.1724395
2022,12575.4840691,8174.06464491
2023,12578.3256299,8175.91165944
2024,12580.9546141,8177.62049918
2025,12583.5537068,8179.30990943
2026,12586.174284,8181.01328463
2027,12588.7821841,8182.70841964
2028,12591.391552,8184.40450878
2029,12593.3726646,8185.69223198
2030,12595.4519921,8187.04379488
2031,12597.6819782,8188.49328581
