year,Base case cost,Modeled biomass for heat (cordwood)
2017,953479.303747,1095602.58278
2018,1018487.38375,1140736.65563
2019,1108776.38375,1204632.57978
2020,1152115.10375,1233879.91866
2021,1181007.58375,1252511.06966
2022,1202676.94375,1265865.37829
2023,1218928.96375,1275276.56424
2024,1231569.42375,1282078.38238
2025,1246015.66375,1290275.06316
2026,1264073.46375,1301200.42933
2027,1280325.48375,1310847.45396
2028,1292965.94375,1317879.58331
2029,1309217.96375,1327636.39799
2030,1320052.64375,1333440.52358
2031,1338110.44375,1344637.26284
2032,,
2033,,
2034,,
2035,,
2036,,
