year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,3127194.57,5113.74,180577.86,85164.94
2018,3126324.05,5163.82,180577.86,86204.48
2019,3125380.99,5219.11,180577.86,87244.03
2020,3124437.93,5269.88,180577.86,88283.57
2021,3122769.44,5364.12,180577.86,90362.66
2022,3121898.92,5412.14,180577.86,91402.21
2023,3121100.94,5457.79,180577.86,92441.75
2024,3119795.16,5531.15,180577.86,93481.3
2025,3118779.56,5589.4,180577.86,95560.38
2026,3117836.49,5643.89,180577.86,96599.93
2027,3116820.89,5700.14,180577.86,97639.47
2028,3115660.2,5765.26,180577.86,98679.02
2029,3114717.13,5818.91,180577.86,99718.56
2030,3113701.53,5876.84,180577.86,100758.11
2031,3112903.55,5922.29,180577.86,101797.65
2032,3111887.95,,,102837.2
2033,3110799.8,,,103876.74
2034,3109856.74,,,105955.83
2035,3108768.59,,,106995.37
2036,3107245.18,,,108034.92
