year,Base case diesel consumed,Modeled non-residential ashp
2017,180577.86322,126404.504308
2018,180577.86322,126404.504308
2019,180577.86322,126404.504308
2020,180577.86322,126404.504308
2021,180577.86322,126404.504308
2022,180577.86322,126404.504308
2023,180577.86322,126404.504308
2024,180577.86322,126404.504308
2025,180577.86322,126404.504308
2026,180577.86322,126404.504308
2027,180577.86322,126404.504308
2028,180577.86322,126404.504308
2029,180577.86322,126404.504308
2030,180577.86322,126404.504308
2031,180577.86322,126404.504308
