year,Base case cost,Modeled water and wastewater efficiency
2017,44553.8629207,51323.2663762
2018,47677.9413447,52970.9808786
2019,51961.2343177,55419.6356309
2020,54295.2873004,56551.9003988
2021,56507.1245565,57614.9956127
2022,57951.9707961,58162.9921569
2023,59150.9210762,58553.6930854
2024,60505.8295197,59062.6978931
2025,61789.4731537,59531.8740688
2026,63207.8329136,60102.0780044
2027,64579.5184558,60649.999911
2028,65900.8169492,61173.4230351
2029,67271.2144558,61738.348434
2030,68450.7209832,62182.3490351
2031,69836.2865761,62774.2267507
