year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0",Cape chiniak (west fork twin creek),"Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Port lions (crescent lake, port lions river)","Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek",Cape chiniak (myrtle creek),"Pillar creek, 1"
2021,0.0,223299.640419,660714.702663,641838.852449,307490.634815,128003.308544,145644.073427,506249.577674,689844.80778,580819.282264,3309217.24803,386270.445448,157671.194452,131180.708874,584908.393523,96507.2365041
2022,0.0,218638.186154,647115.7213,629290.76233,301334.208687,125409.03711,141664.24528,495420.182736,674257.881691,568060.118928,3239945.33902,378501.784718,154570.06311,128592.491883,573008.878778,94559.0000334
2023,0.0,214128.740848,633937.470078,617052.038632,295347.727631,122890.228203,137924.462408,484974.596648,659318.46389,555791.484459,3172954.77679,370951.85026,151547.722666,126071.044336,561460.944511,92666.5036246
2024,0.0,209753.120787,621135.206344,605110.207701,289518.435618,120440.100154,134368.910545,474859.370746,644914.88129,543936.401684,3107967.15399,363602.983007,148600.237501,123612.712417,550231.494445,90824.994405
2025,0.0,205461.747934,608589.321871,593441.725495,283814.783823,118041.12051,130833.851668,464925.561976,630728.060419,532277.185905,3044221.04186,356410.663661,145719.218834,121209.382465,539234.113779,89022.3304853
2026,0.0,201220.82667,596217.891854,582028.82107,278214.735011,115681.18043,127209.57315,455072.169966,616542.901369,520666.733287,2981197.78744,349343.948041,142898.563064,118855.219562,528409.267682,87250.1007732
2027,0.0,197106.700135,584201.781325,570893.191519,272762.376187,113385.945081,123764.288164,445533.017739,602871.034853,509451.105253,2920073.15035,342466.342643,140147.930405,116560.14635,517884.705702,85525.8658176
2028,0.0,193117.133586,572534.420688,560028.601038,267454.687952,111154.150599,120496.331911,436302.981215,589705.295386,498624.349143,2860813.97045,335774.046782,137465.784892,114322.883132,507654.642703,83848.6744344
2029,0.0,189171.313741,561021.803778,549400.879079,262241.543609,108957.603715,117134.161122,427137.987691,576519.719173,487828.496459,2802178.15802,329195.95147,134839.393918,112130.947495,497579.757154,82199.0634252
2030,0.0,185392.91955,549957.812269,539049.010098,257195.549482,106838.233952,114108.056621,418415.662011,564137.820926,477621.320736,2746069.63028,322836.269094,132285.265371,110001.09176,487868.408905,80605.7808603
2031,0.0,181606.880844,538923.625939,528905.406105,252210.100596,104735.553885,110822.64881,409605.278792,551411.198664,467222.533982,2689796.13637,316543.184238,129777.256359,107907.411646,478221.129464,79027.1650259
2032,0.0,177905.522955,528138.380545,518998.094749,247339.065471,102680.765274,107600.32508,400989.061817,538956.097229,457049.310629,2634779.17611,310394.118282,127327.449587,105862.222941,468793.065526,77484.5923004
