year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,23037.331024,17047.6249577
2018,23037.331024,17047.6249577
2019,23037.331024,17047.6249577
2020,23037.331024,17047.6249577
2021,23037.331024,17047.6249577
2022,23037.331024,17047.6249577
2023,23037.331024,17047.6249577
2024,23037.331024,17047.6249577
2025,23037.331024,17047.6249577
2026,23037.331024,17047.6249577
2027,23037.331024,17047.6249577
2028,23037.331024,17047.6249577
2029,23037.331024,17047.6249577
2030,23037.331024,17047.6249577
2031,23037.331024,17047.6249577
